2011/12/07 10:37:03 TRACE - trace
2011/12/07 10:37:03 INFO  - info
2011/12/07 10:37:03 WARN  - warning
2011/12/07 10:37:03 ERROR - error
2011/12/07 10:37:03 FATAL - fatal
2011/12/07 10:37:03 TRACE - QTestLog.cpp:test_1:49 - log trace, using VA parameter
2011/12/07 10:37:03 INFO  - QTestLog.cpp:test_1:51 - log info, using VA parameter
2011/12/07 10:37:03 WARN  - QTestLog.cpp:test_1:52 - log warn, using VA parameter
2011/12/07 10:37:03 ERROR - QTestLog.cpp:test_1:53 - log error, using VA parameter
2011/12/07 10:37:03 FATAL - QTestLog.cpp:test_1:54 - log fatal, using VA parameter
2011/12/07 10:37:03 TRACE - QTestLog.cpp:test_1:58 - log trace 0, using VA parameter
2011/12/07 10:37:03 INFO  - QTestLog.cpp:test_1:60 - log info 2, using VA parameter
2011/12/07 10:37:03 WARN  - QTestLog.cpp:test_1:61 - log warn 3, using VA parameter
2011/12/07 10:37:03 ERROR - QTestLog.cpp:test_1:62 - log error 4, using VA parameter
2011/12/07 10:37:03 FATAL - QTestLog.cpp:test_1:63 - log fatal 5, using VA parameter
2011/12/07 10:37:03 TRACE - QTestLog.cpp:test_1:66 - log ttttttttt 6, 100
2011/12/07 10:37:03 INFO  - QTestLog.cpp:test_1:68 - log info 8, 102
2011/12/07 10:37:03 WARN  - QTestLog.cpp:test_1:69 - log warn 9, 103
2011/12/07 10:37:03 ERROR - QTestLog.cpp:test_1:70 - log error 10, 104
2011/12/07 10:37:03 FATAL - QTestLog.cpp:test_1:71 - log fatal 11, 105
